id,symbol,market,timeframe,direction,entry,stop,target,target_r,stop_pct,mfe_r,mae_r,mae_pct,hrs_first_green,hrs_0.10R,hrs_0.25R,hrs_0.50R,hrs_1.00R,hit_1R,hit_2R,hit_3R,green_then_stopped,final_r,be25_r,be_would_save,be_cuts_winner
4310230b,LINKUSDT,crypto major,5m,long,7.993910714285714,7.975374999999999,8.049517857142858,3.0,0.2319,2.7023,-3.0164,0.6994,0.0,0.0,0.0,0.0,0.5,True,True,False,True,-1.0,0.0,True,False
e91eef3a,XRPUSDT,crypto major,15m,long,1.151707142857143,1.1475500000000003,1.1641785714285715,3.0,0.361,1.2732,-1.854,0.6692,0.0,0.0,0.0,0.0,0.0,True,False,False,True,-1.0,0.0,True,False
97e5b5fd,DOGEUSDT,crypto major,15m,long,0.08806410714285715,0.08760875,0.08943017857142858,3.0,0.5171,1.682,-1.4804,0.7655,0.0,0.0,0.0,0.0,0.75,True,False,False,True,-1.0,0.0,True,False
2873aac2,BNBUSDT,crypto major,5m,long,609.3253571428571,608.1574999999999,612.8289285714286,3.0,0.1917,0.9972,-1.5716,0.3012,0.0,0.0,0.0,0.0,,False,False,False,True,-1.0,0.0,True,False
06338933,DOTUSDT,crypto major,5m,long,0.9892857142857143,0.985,1.0021428571428572,3.0,0.4332,0.6333,-2.4,1.0397,0.0,0.0,0.0,0.0,,False,False,False,True,-1.0,0.0,True,False
3d298071,BTCUSDT,crypto major,15m,long,64183.545535714286,64034.77875,64629.84589285714,3.0,0.2318,0.8333,-1.7712,0.4105,0.0,0.0,0.0,0.0,,False,False,False,True,-1.0,-1.0,False,False
c47c2172,AVAXUSDT,crypto major,5m,long,6.708553571428571,6.681875,6.788589285714285,3.0,0.3977,2.5281,-0.9578,0.3809,0.0,0.0,0.75,0.9166666666666666,3.833333333333333,True,True,False,False,0.3916,0.0,False,True
d1ce662b,BTCUSDT,crypto major,5m,long,64236.62196428571,64146.573749999996,64506.766607142854,3.0,0.1402,5.843,-0.5388,0.0755,0.0,0.0,0.0,0.0,0.08333333333333333,True,True,True,False,3.0,0.0,False,True
94ae2acd,BNBUSDT,crypto major,5m,long,607.855,607.105,610.105,3.0,0.1234,5.9667,-0.2333,0.0288,0.0,0.0,0.0,0.0,0.08333333333333333,True,True,True,False,3.0,3.0,False,False
f15ce72a,SOLUSDT,crypto major,5m,long,68.13196428571428,67.96374999999999,68.63660714285713,3.0,0.2469,8.6677,-0.4873,0.1203,0.0,0.0,0.0,0.0,1.0,True,True,True,False,3.0,0.0,False,True
66d42081,LINKUSDT,crypto major,15m,long,7.974089285714285,7.932625,8.098482142857142,3.0,0.52,1.8307,-2.1245,1.1047,0.0,0.0,0.0,0.75,1.5,True,False,False,True,-1.0,0.0,True,False
